Province,Total, 0-4, 5-9, 10-14, 15-19, 20-24, 25-29, 30-34, 35-39, 40-44, 45-49, 50-54, 55-59, 60-64, 65-69, 70+
Arkhangai,92896,10440,8360,7883,9249,9469,8207,6856,6824,6294,5498,4643,3266,2202,1237,2468
Bayan-Ulgii,93165,11655,10219,9929,8794,8872,8531,7207,6199,5713,4633,3842,2747,1665,1006,2153
Bayankhongor,79310,9760,7429,6675,7812,7992,7436,6280,5806,5165,4383,3714,2436,1480,1008,1934
Bulgan,60324,6415,5351,4556,5423,5587,4977,4499,4592,4426,4066,3494,2619,1666,877,1776
Gobi-Altai,56698,5953,5392,5046,5778,5631,4837,4401,4345,3994,3389,2730,1974,1064,706,1458
Gobisumber,15891,2095,1599,1200,1391,1445,1620,1314,1154,1078,882,741,495,296,193,388
DarkhanUul,97342,10631,8570,6644,8085,9626,9616,7886,7565,6895,6295,5516,3766,2307,1500,2440
Dornogobi,63492,7616,6170,5057,5116,5826,6512,5617,5065,4231,3523,3180,2248,1303,681,1347
Dornod,74923,8457,6925,5470,6115,7467,7591,6273,5647,4884,4224,4095,3143,1781,1000,1851
Dundgobi,44207,4466,4169,3768,4217,4041,3773,3491,3302,2930,2556,2378,1787,1046,665,1618
Zavkhan,69632,7456,6951,5960,6792,6418,5301,5380,5447,5081,4365,3590,2457,1395,991,2048
Orkhon,92705,10044,7896,6250,7503,9063,9662,7598,6786,6730,6420,5663,3532,1925,1179,2215
Uvurkhangai,112591,12673,10577,9569,10990,10852,10116,8733,8347,7672,6603,5497,3693,2448,1528,3293
Umnugobi,59665,7308,5511,4792,5157,5656,6730,5291,4278,3754,3241,2781,1720,1040,667,1739
Sukhbaatar,54517,6395,4875,4315,4823,5284,5144,4673,4324,3626,3114,2696,2103,1232,653,1260
Selenge,105253,11077,9456,8045,8877,10239,9897,8478,7856,7494,6833,6168,4300,2622,1449,2462
Tuv,90049,10359,7982,6627,7677,8421,8161,7039,6551,6064,5563,5129,3872,2410,1422,2772
Uvs,75737,9502,8478,7617,7087,6193,6203,5519,5234,5056,4622,3787,2433,1370,933,1703
Khovd,81479,9755,8292,7729,8784,8167,6875,5772,5679,5193,4377,3831,2639,1529,932,1925
Khuvsgul,126029,14287,12027,10230,11362,12472,11528,9493,9433,8923,7733,6745,4459,2598,1540,3199
Khentii,71065,7797,6684,6202,6292,6497,6068,5691,5460,4742,4222,3960,2865,1713,953,1919
Aimags,1616970,184141,152913,133564,147324,155218,148785,127491,119894,109945,96542,84180,58554,35092,21120,41968
UB,1314486,154393,112618,85648,91648,116952,150537,124864,108447,94255,78103,66691,47295,30062,20290,32683
