,15-19,20-24,25-29,30-34
Arkhangai,1942,4112,5533,1332
Bayan-Ulgii,2921,5099,6204,1290
Bayankhongor,2039,4232,6199,1425
Bulgan,1094,2521,3681,772
Gobi-Altai,1316,3090,3590,797
Gobisumber,422,970,1485,419
Darkhan-uul,2627,5813,6525,1444
Dornogobi,1413,4026,5509,1073
Dornod,1596,3161,4930,1066
Dundgobi,851,1871,2744,608
Zavhan,1498,2941,3742,829
Orkhon,2084,4985,7213,1997
Uvurkhangai,2535,4308,6493,1465
Umnugobi,1382,3071,5251,1081
Sukhbaatar,1345,3273,4439,1138
Selenge,2398,5964,8880,1903
Tuv,1874,4730,6869,1612
Uvs,2061,3492,4474,916
Khovd,2433,4751,5289,1239
Huvsgul,2788,5705,8254,2022
Khentii,1312,3210,4667,1017
Ulaanbaatar,40174,104697,118762,28994
